2026-06-30 15:17:12.187 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:12.213 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:14.038 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:16.848 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:17.367 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:17.996 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:18.607 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:19.225 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:19.839 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:20.440 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:17:21.067 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:18:17.014 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:18:19.736 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:18:20.927 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:41.605 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:41.639 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:41.740 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:42.267 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:42.901 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:43.534 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:44.183 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:44.817 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:45.443 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:46.040 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:52.346 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:52.353 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:52.376 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:27:54.418 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:41.948 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:43.210 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:43.423 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:43.716 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:43.865 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:53.003 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:53.995 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
