2026-06-30 17:40:31.398 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:31.403 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:31.403 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:31.434 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:36.717 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:37.179 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:37.729 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:38.283 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:38.843 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:39.417 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:39.982 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:40.547 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:49.477 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:51.840 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:51.866 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:55.599 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:56.165 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:40:56.212 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:42:06.667 | INFO     | main:lifespan:111 - MongoDB connection closed
2026-06-30 17:52:25.175 | INFO     | main:lifespan:72 - MongoDB connected successfully
2026-06-30 17:52:28.271 | INFO     | main:lifespan:96 - RealtimeStockoutPredictor initialized successfully, model_version=unknown
2026-06-30 17:52:31.035 | INFO     | app.db.indexes:create_all_indexes:214 - All MongoDB indexes created successfully
2026-06-30 17:52:31.095 | INFO     | main:lifespan:106 - MongoDB indexes initialized successfully
2026-06-30 17:52:35.897 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:46.934 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:48.244 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:49.397 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:49.834 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:50.078 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:50.841 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:51.309 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:51.509 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:51.743 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:51.959 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 17:52:52.451 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:56.391 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:56.435 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:56.560 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:57.194 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:57.778 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:58.366 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:58.958 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:06:59.532 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:07:00.099 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:07:00.667 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:28.498 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:28.548 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:31.193 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:31.824 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:39.336 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:39.375 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:39.657 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:39.971 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:40.552 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:41.123 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:41.697 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:42.299 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:42.911 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:14:43.479 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:03.745 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:03.745 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:03.920 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:03.946 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:06.608 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:07.911 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:07.911 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:07.915 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:15:07.937 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:31.957 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:32.482 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:33.667 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:33.674 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:33.700 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:34.824 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:34.829 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:34.854 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:35.309 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 18:16:35.334 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
