ds,yhat,yhat_lower,yhat_upper
2021-01-04,42.84648743427567,36.58007829535949,49.224822936853954
2021-01-05,43.53840131354636,37.82294400849848,50.31178791285002
2021-01-06,42.98635433057095,36.5883600053473,49.28585398184409
2021-01-07,43.36755694346101,37.30310021375544,49.40238345785297
2021-01-08,43.484431501351224,36.61416420644225,49.490125796590746
2021-01-11,42.974463695920996,36.85507015770989,49.20216826059762
2021-01-12,43.69595204215124,37.3383169020015,49.762961120885244
2021-01-13,43.169890111889906,37.21647864531401,49.006370165685986
2021-01-14,43.57333384502485,37.05900822457492,50.066419167056864
2021-01-15,43.70866912978113,37.22222446768166,50.55342270694019
2021-01-18,43.232732661637534,36.9212763470527,49.51245933672397
2021-01-19,43.95940121232355,37.601326242722145,50.22897397807411
2021-01-20,43.43612707914663,37.12984877246438,49.46060893715205
2021-01-21,43.84047490552206,37.124729602560606,50.02562695215918
2021-01-22,43.975377148404384,37.87956025236637,50.51402894178989
2021-01-25,43.495727011775834,36.78264141952372,49.60569674484394
2021-01-26,44.22212531846283,38.15479046722276,50.570957619880595
2021-01-27,43.69983272499012,37.07355751895639,49.49702873225515
2021-01-28,44.10676544482804,37.949419110408996,50.12641408926932
2021-01-29,44.246113039033666,38.00210216556755,50.31854654711507
2021-02-01,43.79189008838912,37.561332825563156,49.98389732585014
2021-02-02,44.53051332558622,38.10463982849907,51.04085118432503
2021-02-03,44.02188035945302,37.70335275641899,49.54221250209418
2021-02-04,44.443472403646275,38.096390619554505,51.15498781448225
2021-02-05,44.59794288654,37.76176161661889,50.80138992325444
2021-02-08,44.185309526543136,37.881587481845884,50.781468006640885
2021-02-09,44.93408349403694,38.78826083589315,51.382444366906576
2021-02-10,44.43246338835299,38.14542017908907,51.05124222237246
2021-02-11,44.8571792524547,38.40592996603101,51.34448664869702
2021-02-12,45.01018044018157,39.0355681084024,50.935718598019044
2021-02-15,44.55975782358978,38.041635981644426,50.635995654802365
2021-02-16,45.283428702486056,39.01895456914394,51.69424011656731
2021-02-17,44.75010897446682,38.21883539794796,50.894707023944505
2021-02-18,45.1365609529051,38.90502958509035,50.91926026264449
2021-02-19,45.24493776979747,38.90665013963861,51.56342726632048
2021-02-22,44.62712037454255,38.317777533369764,50.93763365390175
2021-02-23,45.286198918817604,38.929608251302774,51.58240558266341
2021-02-24,44.68545593005107,38.072369035350505,50.65366384075047
2021-02-25,45.002782096594984,38.47164117254795,51.16988337007518
2021-02-26,45.041552277285334,38.87098497042543,51.24023337807328
2021-03-01,44.225044152582214,37.622772221335815,50.330165513490115
2021-03-02,44.82565035389287,38.20319133097168,50.97605846287724
2021-03-03,44.17240971874437,37.60724132560822,50.121640557401335
2021-03-04,44.44434307269276,38.02372385719855,50.95273829184001
2021-03-05,44.44582565025036,38.290017046362955,50.88215366534826
2021-03-08,43.573555651336655,37.25163424592086,49.785457456828254
2021-03-09,44.175758929219306,37.502142806242034,50.555608857772896
2021-03-10,43.53438761392584,36.738173876653974,49.90970179942141
2021-03-11,43.828212867549304,37.57466778820274,50.19363605951878
2021-03-12,43.861119002992815,37.44002934170794,50.19971377039157
2021-03-15,43.13195329458728,37.31173554869119,49.6104913295269
2021-03-16,43.794314700750796,37.740216458141376,50.47017828452948
2021-03-17,43.21698429369281,36.943837361823014,49.562091204804666
2021-03-18,43.57712861008285,37.71448254580038,50.285589959998866
2021-03-19,43.67694601150023,37.37568979857119,50.07994810494172
2021-03-22,43.13483973966496,37.102141566131,49.38426777317681
2021-03-23,43.84942708841241,37.524657645322215,50.35272762098888
2021-03-24,43.316709099007,37.11631593216189,49.524808864816755
2021-03-25,43.71254793352274,37.29864710620982,50.14462204384884
2021-03-26,43.83803939109893,37.632300163691646,50.50341876788244
2021-03-29,43.3054571564744,37.033022268820986,49.244884287700756
2021-03-30,43.99963432779904,37.324549676790205,50.40251750523131
2021-03-31,43.43490609650939,37.19230063718025,49.87516589756837
2021-04-01,43.78770100311389,37.45664149733492,50.027221856521614
2021-04-02,43.859975062436746,37.7999366064727,50.49630589158595
2021-04-05,43.11935797998316,37.10390149387723,50.01081049026227
2021-04-06,43.73345467201235,36.85518873927859,50.26203041623404
2021-04-07,43.0864430250566,36.88288852131234,49.31892423290046
2021-04-08,43.35684722974895,36.96336503739842,49.801716466950914
2021-04-09,43.348786550897465,36.74768110429618,49.75895352651649
2021-04-12,42.40111622983048,35.34102420168001,48.97763748887466
2021-04-13,42.96436356170483,36.557151508147726,49.31582914941993
2021-04-14,42.27866658597862,36.21259071967334,49.15657163750711
2021-04-15,42.52409552397687,36.68602468216799,48.670928350999425
2021-04-16,42.506058795760055,35.94604826817689,49.21406375490485
2021-04-19,41.62684734079154,35.340994275033374,48.14060132900675
2021-04-20,42.246852700953404,35.650258995743066,48.543053432170296
2021-04-21,41.634583415718765,35.254107980704234,47.71225004418472
2021-04-22,41.96940252146169,35.27079202087338,48.08315901830286
2021-04-23,42.055670724777414,35.29995509173291,48.59954038741616
2021-04-26,41.5637038795452,35.5710413098067,48.33129456663884
2021-04-27,42.33115875331841,35.523838558830214,48.503432035443055
2021-04-28,41.87177053871889,35.69219558076543,47.93952187641431
2021-04-29,42.36241314888236,36.110275120349044,48.6927497068761
2021-04-30,42.604867104837815,36.66311900188987,49.01759403868734
2021-05-03,42.55753792779136,36.619512282350684,48.49102418014446
2021-05-04,43.456796167487774,37.22896937314796,49.932919138440475
2021-05-05,43.11709252832234,36.99499832842182,49.42910740427906
2021-05-06,43.7132307763577,37.116503833095,49.90160678083612
2021-05-07,44.0451634820233,37.759494542883125,50.58057900155867
2021-05-10,44.15618787392066,37.47997306180703,50.6723584753654
2021-05-11,45.068472356975185,38.83367411557369,51.28769650620956
2021-05-12,44.72123247119429,38.07124996950164,50.61379657976266
2021-05-13,45.289381962956995,38.86827143627796,51.68926982863566
2021-05-14,45.57332425741759,39.14946182917283,51.755442923930524
2021-05-17,45.42967241885747,39.375225334899945,51.921324434727964
2021-05-18,46.22470336796281,39.79743995984669,52.5904521077939
2021-05-19,45.74691497829413,39.807987382225235,52.09159606877005
2021-05-20,46.173248277438894,39.56646371743295,52.25388926228634
2021-05-21,46.30627657341295,40.432411250437376,52.84266942228417
2021-05-24,45.67825953753315,39.163197502785515,52.80175724338527
2021-05-25,46.30907765864711,40.120256410312585,53.41596480659804
2021-05-26,45.66951188502343,39.20250398786605,51.89588083208722
2021-05-27,45.93866586376749,39.60466554911035,52.62786583490489
2021-05-28,45.92114398121315,39.66825789793453,52.24414920945243
2021-05-31,44.8990078421564,38.803567697701666,51.3775446360223
2021-06-01,45.422545065121916,39.24123071106376,52.004263369475105
2021-06-02,44.689645499567895,38.184417396171504,50.71976086206618
2021-06-03,44.88020037029979,38.40337304343847,50.79230249380873
2021-06-04,44.7993621826655,38.59478813105381,51.10220364819811
